Raw.file,Condition,BioReplicate,Experiment,IsotopeLabelType
JD_06232014_sample1-A,Condition1,1,sample1_A,L
JD_06232014_sample2_A,Condition2,2,sample2_A,L
JD_06232014_sample4_B,Condition4,4,sample4_B,L
JD_06232014_sample1_B,Condition1,1,sample1_B,L
JD_06232014_sample1_C,Condition1,1,sample1_C,L
JD_06232014_sample2_B,Condition2,2,sample2_B,L
JD_06232014_sample2_C,Condition2,2,sample2_C,L
JD_06232014_sample3_A,Condition3,3,sample3_A,L
JD_06232014_sample3_B,Condition3,3,sample3_B,L
JD_06232014_sample3_C,Condition3,3,sample3_C,L
JD_06232014_sample4-A,Condition4,4,sample4_A,L
JD_06232014_sample4_C,Condition4,4,sample4_C,L
